"","Mass","Primary.Lifestyle","Trophic.Level","Migration","Trophic.Niche"
"AMRO",78.5,"Generalist","Omnivore","3","Invertivore"
"BAEA",4700.6,"Generalist","Carnivore","3","Omnivore"
"BARS",17.9,"Aerial","Carnivore","3","Invertivore"
"BEKI",148,"Insessorial","Carnivore","2","Aquatic_predator"
"BUFF",397.5,"Aquatic","Carnivore","3","Aquatic_predator"
"CATE",655,"Aerial","Carnivore","3","Aquatic_predator"
"CCGO",2811.7,"Terrestrial","Herbivore","3","Herbivore_terrestrial"
"COBR",448.8,"Terrestrial","Omnivore","2","Omnivore"
"COMU",991.9,"Aquatic","Carnivore","3","Aquatic_predator"
"CORA",928,"Terrestrial","Omnivore","2","Omnivore"
"DCCO",1806.5,"Aquatic","Carnivore","2","Aquatic_predator"
"EUST",77.1,"Insessorial","Omnivore","2","Omnivore"
"GBHE",2523.4,"Terrestrial","Carnivore","2","Aquatic_predator"
"GWGU",1056.5,"Generalist","Carnivore","3","Aquatic_predator"
"HERG",1091,"Generalist","Carnivore","2","Aquatic_predator"
"HOGR",453,"Aquatic","Carnivore","3","Aquatic_predator"
"HOSP",26.5,"Terrestrial","Herbivore","1","Granivore"
"MALL",843.4,"Aquatic","Herbivore","2","Herbivore_aquatic"
"OSPR",1483.2,"Aerial","Carnivore","3","Aquatic_predator"
"PECO",1844,"Aquatic","Carnivore","1","Aquatic_predator"
"PIGU",530,"Aquatic","Carnivore","3","Aquatic_predator"
"PUMA",53.8,"Aerial","Carnivore","1","Invertivore"
"RODO",354.2,"Terrestrial","Herbivore","1","Granivore"
"RUHU",3.5,"Aerial","Herbivore","1","Nectarivore"
"STJA",128,"Insessorial","Omnivore","1","Omnivore"
"SUSC",1096.3,"Aquatic","Carnivore","3","Aquatic_predator"
"TUVU",1518.2,"Terrestrial","Scavenger","2","Scavenger"
"WEGR",1137,"Aquatic","Carnivore","3","Aquatic_predator"
