site,100m,300m,500m,1.2km,3km,5km,7km,10km,15km,20km,basin
COR,0,0,3.18,5.42,13.09,11.48,17.38,29.06,31.02,24.88,22.81
DOK,100,46.36,46.33,51.36,59.25,57.51,49.43,52.74,63.25,63.42,60.43
EDG,9.2,25.22,39.54,38.21,54.53,31.99,27.52,28.37,28.11,27.84,35.07
FAM,0,1.78,0.62,9.12,9.21,7.23,6.23,6.45,8.86,6.18,16.61
HO,100,100,100,88.16,69.14,42.32,29.33,25.98,24.93,27.86,22.81
LL,10.86,36.75,35.55,36.62,56.14,54.25,52.59,51.69,64.09,62.68,60.43
MA,0,0,0,20.56,38.01,29.44,25.91,25.83,19.61,20.62,22.81
PR,0,5.93,17.65,31.62,43.88,39.49,40.56,37.42,35.63,37.57,35.07
SHR,35.48,22.43,27.25,42.8,70.68,81.66,63.56,51.7,52.1,54.13,60.43
TL,100,85.39,64.54,86.55,71.59,68.22,66.48,65.87,61.71,52.37,35.07
TUR,0,0,17.07,13.54,10.52,14.32,13.66,9.27,7.71,6.78,16.61
WA,0,0,1.7,24.22,34.91,38.15,35.11,35.52,31.12,29,22.81
