year,month,day,weather,beaufort_sea_state,observer,start_time,site,ipa,species,species_group,time_into_survey,abundance,behaviour,notes
2021,6,7,Clouds,,"JS, NT",1899-12-30T10:23:00Z,EDG,Armored,crow,bird,,1,flying,NA
2021,6,7,Sun,,"JS, NT",1899-12-30T08:23:00Z,EDG,Natural,harbor_seal,marine_mammal,,3,diving,NA
2021,6,7,Sun,,"JS, NT",1899-12-30T08:23:00Z,EDG,Natural,pigeon_guillemot,bird,,3,flying,NA
2021,6,7,Sun,,"JS, NT",1899-12-30T08:23:00Z,EDG,Natural,common_murre,bird,,1,flying,NA
2021,6,7,Sun,,TE,1899-12-30T09:35:00Z,EDG,Restored,pigeon_guillemot,bird,,3,flying,"Incorretly written down as Nat, JS clarified that it was actually restored"
2021,6,7,Sun,,TE,1899-12-30T09:35:00Z,EDG,Restored,pigeon_guillemot,bird,,1,flying,"Incorretly written down as Nat, JS clarified that it was actually restored"
2021,6,7,Sun,,TE,1899-12-30T09:35:00Z,EDG,Restored,pigeon_guillemot,bird,,1,flying,"Incorretly written down as Nat, JS clarified that it was actually restored"
2021,6,7,Sun,,TE,1899-12-30T09:35:00Z,EDG,Restored,glaucous_gull,bird,,1,flying,"Incorretly written down as Nat, JS clarified that it was actually restored"
2021,6,7,Sun,,TE,1899-12-30T09:35:00Z,EDG,Restored,glaucous_gull,bird,,1,flying,"Incorretly written down as Nat, JS clarified that it was actually restored"
2021,6,18,Sun,,"EB, TF, GS",1899-12-30T10:37:00Z,TUR,Natural,american_robin,bird,,1,flying,NA
2021,6,18,Sun,,"EB, TF, GS",1899-12-30T10:37:00Z,TUR,Natural,harbor_seal,marine_mammal,,1,scoping,NA
2021,6,18,Sun,,"EB, TF, GS",1899-12-30T10:37:00Z,TUR,Natural,american_robin,bird,,1,flying,NA
2021,6,18,Sun,,"JS, EB",1899-12-30T11:24:00Z,TUR,Restored,bald_eagle,bird,,1,flying,NA
2021,6,18,Sun,,"JS, EB",1899-12-30T11:24:00Z,TUR,Restored,swallow,bird,,4,flying_perching,NA
2021,6,18,Sun,,"JS, EB",1899-12-30T12:01:00Z,TUR,Armored,NA,NA,,NA,NA,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T13:21:00Z,FAM,Armored,humans,mammal,,12,sailing,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T13:21:00Z,FAM,Armored,swallow,bird,,3,flying,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T13:59:00Z,FAM,Restored,pigeon,bird,,3,flying,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T13:59:00Z,FAM,Restored,swallow,bird,,3,flying,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T13:59:00Z,FAM,Restored,sparrow,bird,,1,flying,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T13:59:00Z,FAM,Restored,bald_eagle,bird,,1,flying,NA
2021,6,18,Sun,,"TF, JS, GS, EB",1899-12-30T14:45:00Z,FAM,Natural,crow,bird,,2,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T09:25:00Z,DOK,Natural,tern,bird,,2,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T09:25:00Z,DOK,Natural,great_blue_heron,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T09:25:00Z,DOK,Natural,tern,bird,,2,flying_diving,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T09:25:00Z,DOK,Natural,harbor_seal,marine_mammal,,1,scoping,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T09:25:00Z,DOK,Natural,crow,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T09:25:00Z,DOK,Natural,humans,mammal,,13,walking,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,tern,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,gull,bird,,2,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,crow,bird,,1,perched,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,crow,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,gull,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,crow,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,purple_martin,bird,,2,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,gull,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,crow,bird,,1,perched_on_dock,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,gull,bird,,1,eating,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:03:00Z,DOK,Armored,great_blue_heron,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:40:00Z,DOK,Restored,tern,bird,,2,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:40:00Z,DOK,Restored,crow,bird,,2,perched_on_beach,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:40:00Z,DOK,Restored,osprey,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:40:00Z,DOK,Restored,tern,bird,,1,diving,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:40:00Z,DOK,Restored,crow,bird,,1,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T10:40:00Z,DOK,Restored,kingfisher,bird,,1,eating,eating a gunnel
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T12:07:00Z,SHR,Restored,crow,bird,,1,perched_on_beach,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T12:07:00Z,SHR,Restored,gull,bird,,1,perched_on_beach,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T12:07:00Z,SHR,Restored,crow,bird,,5,flying,NA
2021,6,23,Clouds,,"TF, JT, EB",1899-12-30T12:07:00Z,SHR,Restored,gull,bird,,2,flying,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T12:42:00Z,SHR,Armored,great_blue_heron,bird,,1,foraging,in the intertidal
2021,6,23,Clouds,,"JT, EB",1899-12-30T12:42:00Z,SHR,Armored,dog,mammal,,2,walking,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T12:42:00Z,SHR,Armored,humans,mammal,,1,walking,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,crow,bird,,2,flying,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,kingfisher,bird,,1,flying,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,dog,mammal,,1,walking,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,humans,mammal,,1,walking,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,great_blue_heron,bird,,1,foraging,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,tern,bird,,1,flying,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,crow,bird,,4,perched_on_beach,NA
2021,6,23,Clouds,,"JT, EB",1899-12-30T13:17:00Z,SHR,Natural,crow,bird,,5,flying,NA
2021,7,13,Clouds,,"JI, TE, EB, KA",1899-12-30T08:47:00Z,DOK,Natural,NA,NA,,NA,NA,nothing observed except a dog and three deer adjacent to the IPA
2021,7,13,Clouds,,"JI, TE, EB, KA",1899-12-30T09:28:00Z,DOK,Armored,swallow,bird,,2,flying,NA
2021,7,13,Clouds,,"JI, TE, EB, KA",1899-12-30T10:07:00Z,DOK,Restored,great_blue_heron,bird,,1,perched,on boat
2021,7,13,Clouds,,"JI, TE, EB, KA",1899-12-30T10:07:00Z,DOK,Restored,swallow,bird,,1,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,gull,bird,,4,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,gull,bird,,2,flying_perching,landed in intertidal
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,osprey,bird,,1,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,crow,bird,,7,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,tern,bird,,2,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,humans,mammal,,8,walking,"no behavior specifically listed, this behavior fits typical behavior of humans and dogs"
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T11:23:00Z,SHR,Restored,dog,mammal,,1,walking,"no behavior specifically listed, this behavior fits typical behavior of humans and dogs"
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T12:05:00Z,SHR,Armored,gull,bird,,9,floating_on_water,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T12:05:00Z,SHR,Armored,crow,bird,,2,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T12:05:00Z,SHR,Armored,crow,bird,,5,perched_on_beach,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T12:05:00Z,SHR,Armored,tern,bird,,1,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T12:05:00Z,SHR,Armored,gull,bird,,3,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T13:01:00Z,SHR,Natural,gull,bird,,7,floating_on_water,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T13:01:00Z,SHR,Natural,gull,bird,,1,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T13:01:00Z,SHR,Natural,gull,bird,,1,perched_on_beach,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T13:01:00Z,SHR,Natural,crow,bird,,3,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T13:01:00Z,SHR,Natural,osprey,bird,,2,flying,NA
2021,7,13,Sun,,"JI, TE, EB, KA",1899-12-30T13:01:00Z,SHR,Natural,tern,bird,,2,flying,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T08:46:00Z,EDG,Armored,gull,bird,,1,swimming,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T08:46:00Z,EDG,Armored,swallow,bird,,1,flying,flew through
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,pigeon_guillemot,bird,,1,swimming,flew through high
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,canada_geese,bird,,3,flying,flew through high
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,pigeon_guillemot,bird,,1,flying_diving,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,gull,bird,,1,flying,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,tern,bird,,1,flying,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,pigeon_guillemot,bird,,2,swimming,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T09:36:00Z,EDG,Restored,pigeon_guillemot,bird,,3,swimming,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T10:13:00Z,EDG,Natural,pigeon_guillemot,bird,,2,swimming,then flying
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T10:13:00Z,EDG,Natural,pigeon_guillemot,bird,,1,flying,flew in and landed
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T10:13:00Z,EDG,Natural,cormorant,bird,,1,flying,NA
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T10:13:00Z,EDG,Natural,pigeon_guillemot,bird,,1,flying,flew through
2021,8,10,Sun,,"JS, JI, EB",1899-12-30T10:13:00Z,EDG,Natural,cormorant,bird,,1,flying,flew through
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T09:11:00Z,TUR,Natural,harbor_seal,marine_mammal,,1,swimming,in kelp
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T09:11:00Z,TUR,Natural,racoon,mammal,,4,walking,walking though on ridge not on beach
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T09:11:00Z,TUR,Natural,unk_terrestrial_bird,bird,,1,flying,NA
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T09:53:00Z,TUR,Restored,harbor_seal,marine_mammal,,1,foraging,in the shallows
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T09:53:00Z,TUR,Restored,kingfisher,bird,,1,flying,NA
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T09:53:00Z,TUR,Restored,gull,bird,,2,flying,flew through high
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T10:30:00Z,TUR,Armored,raven,bird,,2,flying,NA
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T10:30:00Z,TUR,Armored,gull,bird,,1,flying,NA
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T11:35:00Z,FAM,Armored,gull,bird,,1,flying,NA
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T11:35:00Z,FAM,Armored,humans,mammal,,6,perched_on_beach,juveniles
2021,8,12,Smoke,,"TF, JS, KF, EB",1899-12-30T12:15:00Z,FAM,Natural,kingfisher,bird,,1,flying,NA
