date,time,site,ipa,station,observer,tide,water_level,secchi_m,depth_m,species,tax_group,org_type,length_mm,fish_notes,transect_notes
2019-06-18T00:00:00Z,1899-12-30T10:24:00Z,COR,Restored,0,NA,Ebb,0.2,NA,4,Great Sculpin,Cottidae,Fish,300,NA,
2019-06-18T00:00:00Z,1899-12-30T10:24:00Z,COR,Restored,0,NA,Ebb,0.2,NA,4,Starry Flounder,Flatfish,Fish,300,NA,
2019-09-13T00:00:00Z,1899-12-30T12:40:00Z,EDG,Restored,0,NA,NA,NA,NA,5,Starry Flounder,Flatfish,Fish,290,NA,
2018-09-12T00:00:00Z,1899-12-30T09:47:00Z,TUR,Restored,0,"JS, GS",NA,NA,NA,NA,Pile Perch,Perch,Fish,285,NA,
2019-07-16T00:00:00Z,1899-12-30T13:57:00Z,COR,Natural,0,NA,Flood,0.7,NA,4,Tube Snout,Aulorhynchus,Fish,270,NA,
2018-06-13T00:00:00Z,1899-12-30T11:23:00Z,COR,Natural,1,GS,Flood,NA,NA,0.8852459016393442,Striped Perch,Perch,Fish,260,NA,
2019-06-19T00:00:00Z,1899-12-30T09:45:00Z,TUR,Natural,0,NA,Ebb,0.6,NA,6,Striped Perch,Perch,Fish,260,NA,
2019-06-18T00:00:00Z,1899-12-30T10:05:00Z,COR,Restored,1,NA,Ebb,0.9,NA,6,Staghorn Sculpin,Cottidae,Fish,250,NA,
2018-06-13T00:00:00Z,1899-12-30T11:23:00Z,COR,Natural,1,GS,Flood,NA,NA,0.8852459016393442,Snake Prickleback,Stichaeid,Fish,245,NA,
2019-07-09T00:00:00Z,1899-12-30T11:43:00Z,DOK,Natural,0,NA,Ebb,7.2,3,12,Cutthroat,Salmon,Fish,240,NA,
2019-07-09T00:00:00Z,1899-12-30T11:43:00Z,DOK,Natural,0,NA,Ebb,7.2,3,12,Cutthroat,Salmon,Fish,240,NA,
2018-09-12T00:00:00Z,1899-12-30T09:30:00Z,TUR,Restored,1,"JS, GS",NA,NA,NA,NA,Striped Perch,Perch,Fish,232,NA,
2018-06-13T00:00:00Z,1899-12-30T10:45:00Z,COR,Restored,1,GS,Flood,NA,NA,1.180327868852459,Snake Prickleback,Stichaeid,Fish,225,NA,
2018-06-13T00:00:00Z,1899-12-30T10:45:00Z,COR,Restored,1,GS,Flood,NA,NA,1.180327868852459,Snake Prickleback,Stichaeid,Fish,225,NA,
2019-07-16T00:00:00Z,1899-12-30T12:57:00Z,COR,Restored,0,NA,Flood,-1.1,NA,4,Staghorn Sculpin,Cottidae,Fish,222,NA,
