year,month,day,time,site,ipa,station,depth_ft,species,tax_group,org_type,length_mm,hatchery_wild,fish_notes,transect_notes
2022,4,6,1899-12-30T14:10:00Z,EDG,Natural,0,8,Sand Dab,Flatfish,Fish,63,NA,NA,NA
2022,4,6,1899-12-30T14:10:00Z,EDG,Natural,0,8,Sand Dab,Flatfish,Fish,53,NA,NA,NA
2022,4,6,1899-12-30T14:10:00Z,EDG,Natural,0,8,Sand Dab,Flatfish,Fish,52,NA,NA,NA
2022,4,6,1899-12-30T14:10:00Z,EDG,Natural,0,8,Sand Dab,Flatfish,Fish,57,NA,NA,NA
2022,4,6,1899-12-30T14:10:00Z,EDG,Natural,0,8,Sand Dab,Flatfish,Fish,44,NA,NA,NA
2022,4,6,1899-12-30T13:55:00Z,EDG,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T13:55:00Z,EDG,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T13:55:00Z,EDG,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T13:55:00Z,EDG,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T13:47:00Z,EDG,Natural,2,35,NA,NA,NA,NA,NA,NA,NA
2022,4,6,1899-12-30T14:54:00Z,EDG,Restored,0,8,Stickleback,Stichaeid,Fish,35,NA,NA,NA
2022,4,6,1899-12-30T14:42:00Z,EDG,Restored,1,21,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:42:00Z,EDG,Restored,1,21,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:42:00Z,EDG,Restored,1,21,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:42:00Z,EDG,Restored,1,21,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:36:00Z,EDG,Restored,2,36,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:36:00Z,EDG,Restored,2,36,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:36:00Z,EDG,Restored,2,36,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T14:36:00Z,EDG,Restored,2,36,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:33:00Z,EDG,Armored,0,8,Water Jelly,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:23:00Z,EDG,Armored,1,22,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,6,1899-12-30T15:16:00Z,EDG,Armored,2,41,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:53:00Z,DOK,Natural,0,11.5,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:53:00Z,DOK,Natural,0,11.5,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:53:00Z,DOK,Natural,0,11.5,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:53:00Z,DOK,Natural,0,11.5,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:53:00Z,DOK,Natural,0,11.5,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:53:00Z,DOK,Natural,0,11.5,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:41:00Z,DOK,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:41:00Z,DOK,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:41:00Z,DOK,Natural,1,20,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T12:29:00Z,DOK,Natural,2,26,NA,NA,NA,NA,NA,NA,NA
2022,4,7,1899-12-30T13:46:00Z,DOK,Armored,0,9,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
2022,4,7,1899-12-30T13:29:00Z,DOK,Armored,1,15,Kelp Greenling,Hexagrammidae,Fish,49,NA,NA,NA
2022,4,7,1899-12-30T13:29:00Z,DOK,Armored,1,15,Ctenophore,Jellyfish,Pelagic invertebrate,NA,NA,NA,NA
